name,numero_cir,tree,density,oxygen,area
MEANO,2,206,0.00019959673326064623,2.8,15712181
BONDONE,3,292,0.00016183121179983334,3,36949609
SARDAGNA,4,38,4.4925984094908815e-05,3.4,8663138
ARGENTARIO,6,454,0.000940656536002632,4.3,13199398
S.GIUSEPPE-S.CHIARA,11,3024,0.03036853282852104,29.5,3073349
POVO,7,189,0.000185760973335923,3.4,15433274
RAVINA-ROMAGNANO,5,319,0.00037689257509942184,3.8,16687779
MATTARELLO,8,264,0.0003044201990852294,3.8,16409555
VILLAZZANO,9,416,0.0008651256512445302,3.3,7342864
OLTREFERSINA,10,2695,0.012638248437541721,3.9,6962104
GARDOLO,1,1651,0.0030936297163549524,5.2,8817959
CENTRO STORICO PIEDICASTELLO,12,2964,0.015255497319368384,2.9,8599464
