Name,Carbon,Height
Tilia cordata,8.9,4.5
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,6.5,4.0
Tilia cordata,60.0,6.0
Tilia cordata,52.4,7.0
Tilia cordata,52.4,7.0
Tilia cordata,33.2,7.0
Tilia cordata,8.9,4.5
Tilia cordata,15.0,4.5
Tilia cordata,8.9,4.5
Tilia cordata,8.9,4.5
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,8.9,4.5
Tilia cordata,8.9,2.0
Tilia cordata,6.5,4.5
Tilia cordata,6.5,4.5
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,11.7,4.5
Tilia cordata,15.0,4.5
Tilia cordata,15.0,4.5
Tilia cordata,15.0,5.0
Tilia cordata,15.0,4.5
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,18.8,5.0
Tilia cordata,27.9,6.0
Tilia cordata,27.9,6.0
Tilia cordata,68.2,6.0
Tilia cordata,15.0,5.0
Tilia cordata,15.0,5.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,5.0
Tilia cordata,15.0,5.0
Tilia cordata,15.0,5.0
Tilia cordata,39.0,8.0
Tilia cordata,39.0,8.0
Tilia cordata,118.3,10.0
Tilia cordata,60.0,7.0
Tilia cordata,60.0,7.0
Tilia cordata,60.0,7.0
Tilia cordata,60.0,7.0
Tilia cordata,60.0,7.0
Tilia cordata,39.0,6.0
Tilia cordata,39.0,6.0
Tilia cordata,39.0,6.0
Tilia cordata,39.0,6.0
Tilia cordata,68.2,7.0
Tilia cordata,68.2,7.0
Tilia cordata,68.2,7.0
Tilia cordata,33.2,7.0
Tilia cordata,39.0,6.0
Tilia cordata,15.0,6.0
Tilia cordata,60.0,8.0
Tilia cordata,39.0,8.0
Tilia cordata,39.0,8.0
Tilia cordata,39.0,8.0
Tilia cordata,60.0,8.0
Tilia cordata,60.0,8.0
Tilia cordata,11.7,5.0
Tilia cordata,52.4,7.0
Tilia cordata,27.9,5.0
Tilia cordata,27.9,7.0
Tilia cordata,4.5,4.0
Tilia cordata,4.5,4.0
Tilia cordata,27.9,6.0
Tilia cordata,23.1,4.0
Tilia cordata,8.9,1.0
Tilia cordata,45.5,6.0
Tilia cordata,11.7,5.0
Tilia cordata,60.0,6.0
Tilia cordata,8.9,4.5
Tilia cordata,8.9,4.0
Tilia cordata,8.9,4.5
Tilia cordata,27.9,4.0
Tilia cordata,39.0,5.0
Tilia cordata,27.9,5.0
Tilia cordata,6.5,4.0
Tilia cordata,23.1,4.5
Tilia cordata,8.9,4.0
Tilia cordata,60.0,5.0
Tilia cordata,6.5,4.0
Tilia cordata,68.2,6.0
Tilia cordata,6.5,4.0
Tilia cordata,6.5,4.0
Tilia cordata,11.7,4.0
Tilia cordata,18.8,5.0
Tilia cordata,33.2,4.5
Tilia cordata,4.5,4.0
Tilia cordata,6.5,4.0
Tilia cordata,6.5,4.0
Tilia cordata,27.9,4.0
Tilia cordata,39.0,4.5
Tilia cordata,4.5,4.0
Tilia cordata,4.5,4.0
Tilia cordata,4.5,4.0
Tilia cordata,2.9,3.0
Tilia cordata,2.9,4.0
Tilia cordata,52.4,5.0
Tilia cordata,8.9,4.0
Tilia cordata,45.5,5.0
Tilia cordata,39.0,6.0
Tilia cordata,27.9,6.0
Tilia cordata,39.0,6.0
Tilia cordata,33.2,6.0
Tilia cordata,45.5,6.0
Tilia cordata,27.9,5.0
Tilia cordata,45.5,6.0
Tilia cordata,15.0,5.0
Tilia cordata,6.5,4.0
Tilia cordata,33.2,5.5
Tilia cordata,27.9,4.5
Tilia cordata,6.5,3.5
Tilia cordata,8.9,4.0
Tilia cordata,6.5,3.0
Tilia cordata,11.7,4.0
Tilia cordata,6.5,3.5
Tilia cordata,6.5,3.5
Tilia cordata,6.5,3.5
Tilia cordata,18.8,4.0
Tilia cordata,23.1,4.5
Tilia cordata,4.5,4.0
Tilia cordata,33.2,6.0
Tilia cordata,27.9,5.0
Tilia cordata,11.7,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,23.1,4.5
Tilia cordata,15.0,4.0
Tilia cordata,11.7,3.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,60.0,5.0
Tilia cordata,18.8,4.0
Tilia cordata,39.0,4.0
Tilia cordata,15.0,4.0
Tilia cordata,60.0,6.0
Tilia cordata,6.5,4.5
Tilia cordata,6.5,4.5
Tilia cordata,39.0,5.0
Tilia cordata,52.4,6.0
Tilia cordata,8.9,4.0
Tilia cordata,6.5,4.0
Tilia cordata,52.4,5.0
Tilia cordata,4.5,3.5
Tilia cordata,86.3,4.0
Tilia cordata,23.1,4.0
Tilia cordata,45.5,5.0
Tilia cordata,39.0,5.0
Tilia cordata,27.9,5.0
Tilia cordata,130.2,10.0
Tilia cordata,68.2,10.0
Tilia cordata,45.5,7.0
Tilia cordata,45.5,7.0
Tilia cordata,52.4,7.0
Tilia cordata,33.2,6.0
Tilia cordata,27.9,6.0
Tilia cordata,27.9,6.0
Tilia cordata,39.0,7.0
